song_id,audio_path,lyrics_path
Amy Winehouse - Love Is A Losing Game,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Amy Winehouse - Love Is A Losing Game.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Amy Winehouse - Love Is A Losing Game.txt
Astrud Gilberto and Stan Getz - The Girl From Ipanema,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Astrud Gilberto and Stan Getz - The Girl From Ipanema.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Astrud Gilberto and Stan Getz - The Girl From Ipanema.txt
Billie Holiday - Strange Fruit,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Billie Holiday - Strange Fruit.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Billie Holiday - Strange Fruit.txt
Fly Me To The Moon,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Fly Me To The Moon.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Fly Me To The Moon.txt
Grover Washington Jr. - Just the Two of Us,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Grover Washington Jr. - Just the Two of Us.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Grover Washington Jr. - Just the Two of Us.txt
L-O-V-E,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/L-O-V-E.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/L-O-V-E.txt
Laufey - From The Start,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Laufey - From The Start.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Laufey - From The Start.txt
Louis Armstrong - What A Wonderful World,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Louis Armstrong - What A Wonderful World.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Louis Armstrong - What A Wonderful World.txt
Lovefool - Vintage Jazz Cardigans,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Lovefool - Vintage Jazz Cardigans.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Lovefool - Vintage Jazz Cardigans.txt
Norah Jones - Don't Know Why,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Norah Jones - Don't Know Why.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Norah Jones - Don't Know Why.txt
Parov Stelar - All Night,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Parov Stelar - All Night.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Parov Stelar - All Night.txt
Royals - (Sad Clown With The Golden Voice),C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Royals - (Sad Clown With The Golden Voice).mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Royals - (Sad Clown With The Golden Voice).txt
Sade - Smooth Operator,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Sade - Smooth Operator.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Sade - Smooth Operator.txt
The Girl From Ipanema - Frank Sinatra & Antônio Carlos Jobim,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/The Girl From Ipanema - Frank Sinatra & Antônio Carlos Jobim.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/The Girl From Ipanema - Frank Sinatra & Antônio Carlos Jobim.txt
"Theme From New York, New York","C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/jazz_song/Theme From New York, New York.mp3","C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/jazz_lyrics/Theme From New York, New York.txt"
Adele - Rolling in the Deep,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Adele - Rolling in the Deep.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Adele - Rolling in the Deep.txt
Dua Lipa - Levitating,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Dua Lipa - Levitating.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Dua Lipa - Levitating.txt
Dua Lipa - New Rules,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Dua Lipa - New Rules.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Dua Lipa - New Rules.txt
Ed Sheeran - Shape of You,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Ed Sheeran - Shape of You.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Ed Sheeran - Shape of You.txt
